SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
99MO021901;"Moshi Clearguard for MacBook Pro 13"", 15"", 17""";Moshi;in stock;13;22,6;39,99;4,71E+12;0;0,2;14,7;37,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597991517/uploads/624cebf8/products/170/images/01_1597991516.jpg
99MO021911;"Moshi ClearGuard MacBook Pro 13 without Touch Bar & Retina MacBook 12""";Moshi;in stock;37;22,6;39,99;4,71E+12;0;0,2;14,7;37,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597991521/uploads/624cebf8/products/171/images/open-uri20180918-4448-smj5ui_1597991521.jpg
99MO065011;Moshi Digits TouchScreen Gloves - Small;Moshi;in stock;8;26,08;49,99;4,71E+12;0;4,5;11,3;25,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1584061731/uploads/624cebf8/products/189/images/99MO065011_a_1583993160_1584061730.jpg
99MO065031;Moshi Digits TouchScreen Gloves - Large;Moshi;in stock;10;26,08;49,99;4,71E+12;0;4,5;11,3;25,3;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1584061712/uploads/624cebf8/products/190/images/99MO065031_iPad_mini_1_1583993127_1584061711.jpg
99MO072010;Moshi Sensecover for iPhone X/XS (Black);Moshi;in stock;12;25,06;79,99;4,71E+12;0;1,8;9,9;19,6;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/200/images/open-uri20180918-4448-1unseu8.jpg
99MO101001;Moshi iGlaze for iPhone X/XS (Black);Moshi;in stock;36;23,91;49,99;4,71E+12;0;1,9;10;19,7;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/224/images/open-uri20180918-4448-7nvhft.jpg
99MO101031;Moshi Vesta for iPhone X/XS (Grey);Moshi;in stock;13;21,93;69,99;4,71E+12;0;1,8;10;19,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/226/images/open-uri20180918-4448-f0zkqa.jpg
99MO101101;Moshi iGlaze for iPhone X/XS (White);Moshi;in stock;15;15,66;49,99;4,71E+12;0;1,8;10;19,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/227/images/open-uri20180918-4448-10fwbbr.jpg
99MO101511;Moshi Vesta for iPhone X/XS (Blue);Moshi;in stock;7;33,47;69,99;4,71E+12;0;1,8;10;19,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/228/images/open-uri20180918-4448-1sohoxh.jpg
99MO101512;Moshi Kameleon for iPhone X/XS (Blue);Moshi;in stock;7;25,06;79,99;4,71E+12;0;1,8;10;19,8;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1580944221/uploads/624cebf8/products/229/images/open-uri20180918-4448-ssagf3_1580944221.jpg
99MO114003;Moshi Capto for iPhone X/XS (Black);Moshi;in stock;1;17,08;49,99;4,71E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/856/images/Capto_iPhone_X_Black_01_Front.jpg
99MO040910;"Moshi iVisor for MacBook Pro 15"" (Thunderbolt 3/USB-C) (Black)";Moshi;in stock;43;33,91;59,99;4,71E+12;0;0,1;27,9;42,2;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597991539/uploads/624cebf8/products/187/images/open-uri20180918-4448-aigz22_1597991539.jpg
99MO040908;"Moshi iVisor AG for MacBook Pro 12""";Moshi;in stock;3;22,21;59,99;4,71E+12;0;0,2;22;36,5;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597991531/uploads/624cebf8/products/185/images/open-uri20180918-4448-1jxm2vy_1597991530.jpg
99MO023201;Moshi Mini Display to VGA;Moshi;in stock;20;17,08;49,99;4,71E+12;0;2,1;5;19,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/180/images/open-uri20180918-4448-4s2fwh.jpg
99MO023208;Moshi Mini DisplayPort to HDMI Adapter 4K;Moshi;out of stock;0;18,79;54,99;4,71E+12;0;1,8;5;19,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/181/images/open-uri20180918-4448-c7s9ol.jpg
99MO084201;Moshi USB-C to VGA Adapter;Moshi;out of stock;0;23,92;69,99;4,71E+12;0;1,8;5;19,4;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1/uploads/624cebf8/products/205/images/open-uri20180918-4448-2z182f.jpg
